checkpoint_date,checkpoint_time,uav_drones,shahed,orlan,orion,lancet,merlin,granat_4,zala,mohajer_6,missiles,ballistic_missiles,missile_kh_31p,cruise_missiles,kh_59_missile,kalibr_missile,kinzhal_missile,iskander_m_missile,iskander_k_missile,fighter_su_30_cm,fighter_su_34,fighter_su_35,fighter_su_24m,fighter_su_25,helicopter,helicopter_k_52,helicopter_mi_8,plane_a_50,plane_il_22
2023-08-23,07:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,07:00:00,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,
2023-08-26,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-27,00:00:00,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,
2023-08-27,08:00:00,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
2023-08-27,00:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,07:00:00,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,
2023-08-30,07:00:00,,15,,,,,,,,,,,28,,,,,,,,,,,,,,,
2023-09-01,07:00:00,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2023-09-03,07:00:00,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,08:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,07:00:00,,15,,,,,,,,,,,7,,,,1,,,,,,,,,,,
2023-09-07,07:00:00,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,07:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-10,08:00:00,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,08:00:00,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,08:00:00,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,07:00:00,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,08:00:00,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-17,08:00:00,,6,,,,,,,,,,,6,,,,,,,,,,,,,,,
2023-09-18,08:00:00,,18,,,,,,,,,,,17,,,,,,,,,,,,,,,
2023-09-19,08:00:00,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,08:00:00,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-21,08:00:00,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
2023-09-23,08:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,07:00:00,4,19,,,3,,,,,,,,,,11,,,,,,,,,,,,,
2023-09-26,08:00:00,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,08:00:00,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,08:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,08:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,08:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03,08:00:00,,29,,,,,,,,,,,1,,,,,,,,,,,,,,,
2023-10-05,08:00:00,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-06,08:00:00,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10,08:00:00,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,06:00:00,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16,08:00:00,,11,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-10-17,07:00:00,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-19,08:00:00,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-22,08:00:00,,3,,,3,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-23,08:00:00,1,13,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-24,08:00:00,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25,08:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,08:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,17:00:00,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,
2023-10-28,08:00:00,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2023-10-29,07:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-30,07:00:00,,12,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-10-31,17:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,07:00:00,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-01,11:00:00,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-11-01,11:00:00,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2023-11-03,07:00:00,,24,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-04,07:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-04,19:00:00,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2023-11-06,07:00:00,,15,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-10,08:00:00,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-11,07:00:00,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-11,09:00:00,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2023-11-13,17:00:00,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,
2023-11-14,07:00:00,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-16,09:00:00,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-17,07:00:00,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-18,08:00:00,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-19,08:00:00,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-21,08:00:00,,9,,,,,,,,,,,,,,,,1,,,,,,,,,,
2023-11-22,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-24,07:00:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-25,09:00:00,,71,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-25,11:00:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-26,07:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28,09:00:00,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,07:00:00,,21,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-11-30,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,07:00:00,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-02,07:00:00,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-03,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04,07:00:00,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-05,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,18:00:00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2023-12-06,07:00:00,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,07:00:00,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,07:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,09:00:00,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
2023-12-11,06:00:00,,18,,,,,,,,,8,,,,,,,,,,,,,,,,,
2023-12-12,06:00:00,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-12-13,06:00:00,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,
